mean_x, std_x, mean_y, std_y, mean_z, std_z, Activity
5.224145,0.7471176232211039,-4.8195696,3.3838490930822283,1.2264603,5.999410282400452,hand_wash
4.4046006,3.6355083348358774,-6.8652635,2.983023452293185,-2.2036688,5.691589561971537,hand_wash
5.6850085,8.147180418223831,-7.4363933,3.577688532032766,-1.3980379,11.513934110934347,hand_wash
6.229696,8.121945790139746,-7.342166,3.9331814531863345,-2.4594457,12.681192869280501,hand_wash
5.4364552,9.030400958954823,-6.5367317,2.6828181271724527,-4.0323863,11.868000738469824,hand_wash
6.0663967,6.3958981124463605,-6.15082,3.133798192083149,-3.4243486,9.862793923604618,hand_wash
4.715246,4.37356369419802,-5.5651393,3.710218243413361,-3.251984,6.609598936070412,hand_wash
5.259929,8.527359407194743,-6.886388,3.3422176379342576,-3.3225238,12.083526469473908,hand_wash
6.0219426,6.846999420330903,-5.174063,5.350621852207673,-1.8560975,10.880196919061648,hand_wash
6.130911,0.6259987956605241,-0.24057981,0.8108381368515056,7.065265,0.426305220989906,hand_wash
5.514263,0.7396446435436678,-3.1743083,3.394316882705521,2.7747989,6.424790660253155,hand_wash
4.443205,5.2095421977634775,-6.4228578,3.9719487313210835,-3.6925886,7.2166967072716925,hand_wash
5.2155514,8.531115408593772,-7.856002,3.939846248047245,-2.180568,11.779521461183904,hand_wash
5.46829,10.109813462525919,-6.7921624,3.283575777762052,-3.3463855,13.21590715866176,hand_wash
5.470874,8.525449464645177,-5.814189,2.9530765590025054,-5.3489876,11.747800580595728,hand_wash
5.3286233,8.80220371743367,-6.9514356,3.805897733676524,-1.6036627,11.865519061656723,hand_wash
6.513768,10.208249918278987,-6.954946,3.9094802317799515,-4.4079638,14.23364443532059,hand_wash
5.3644896,7.404164209689232,-5.762215,4.258014751145383,-3.8811924,11.097007595549513,hand_wash
4.6412306,5.1005211507768,-5.7476234,4.274270264209308,-0.2603368,7.878857107013944,hand_wash
5.6023326,8.870295177481104,-6.436231,3.604249560040515,-3.613561,11.927447655234516,hand_wash
6.0299964,2.3278466384684804,-4.2547526,3.72225594544831,2.281025,6.954377410907453,hand_wash
5.4597793,5.988141102404375,-6.53213,2.98751059175154,-3.8290644,7.735277034678374,hand_wash
5.439771,5.80067175559539,-5.103914,3.1014170576533124,-0.0012717694,9.639891363141187,hand_wash
5.545479,0.8202041554427347,-2.6865156,4.992896947462317,0.090957925,6.243242807188563,hand_wash
4.644269,4.848339244794777,-5.1725426,4.955397797445995,-2.728445,7.331034068694363,hand_wash
