mean_x, std_x, mean_y, std_y, mean_z, std_z, Activity
-0.8215263,1.9990427587457815,-1.3106993,1.09834240953538,7.94529,3.2455642947802983,hand_wash
-10.462752,1.9913990330406324,-4.5316234,3.1781638053993055,2.646362,3.9801444538297917,hand_wash
-8.76713,2.280128516875046,-2.8963819,1.4927408680250787,2.955991,1.7603661193211926,hand_wash
-9.926996,3.467053522630445,-2.8261662,1.9291438522253168,2.8222153,1.194146229359881,hand_wash
-9.346747,3.122056872136381,-4.7198033,1.1889381233361689,2.7194788,1.4402375898126158,hand_wash
-9.012853,4.052801204268272,-3.88332,1.8483173889192501,3.1231303,1.9362188841337131,hand_wash
-8.488868,3.0007903329582173,-3.398184,1.2155901710208281,2.5579774,3.0803951663875067,hand_wash
-9.054522,3.3271649189219756,-3.6893709,1.5830405700795998,2.4806604,0.9581972143004135,hand_wash
-10.291435,3.1564182954241784,-4.0460877,3.502590719242115,1.7948501,2.80008585662,hand_wash
-6.755537,6.20628572359589,-3.9637165,4.42165026413777,4.4678235,6.178541383426106,hand_wash
-11.613864,9.811810706158985,-5.5408134,10.768686421229356,1.7568543,9.455227603845787,hand_wash
-9.928819,7.652148584561402,-3.2819464,12.845963707302614,-0.22690189,6.733325000166064,hand_wash
-13.090814,8.055069212281694,-11.17691,7.457086497961917,2.4607391,4.953824833187511,hand_wash
-6.7841077,7.061917711407809,-0.9721978,10.960183648568648,-2.553976,4.394839615917035,hand_wash
-7.908891,10.158425623344375,-11.458774,8.585802877271483,-3.7776957,8.379017791361301,hand_wash
-4.629984,9.493608432741407,-8.535947,7.853493038468516,-5.3634267,6.845506416574689,hand_wash
-9.520096,6.703905180230948,-6.632031,5.940395251651998,2.9271467,4.2877006105695985,hand_wash
3.1732833,2.704487451728404,5.1055207,3.140793373566923,2.7275338,6.872610890814565,hand_wash
0.8679654,6.863880945449213,-2.3208268,9.194334226052018,-1.9843277,8.988192548318295,hand_wash
-7.437003,9.786973150306698,-8.088528,10.537704708332813,-1.3272163,7.532348805912771,hand_wash
-5.0747495,11.050453653128518,-7.7801795,11.484288637005205,-1.6296055,7.00738871131848,hand_wash
-13.777333,5.182023432193899,-4.4356046,6.779988395658481,0.3059301,6.4731059128282,hand_wash
-1.1535068,8.272222009981471,-8.307832,4.681916026265524,-0.64058405,6.521499875973642,hand_wash
-6.19281,7.741245616663365,-4.031122,3.4217260319582516,3.2677824,2.6037410744355203,hand_wash
-10.712834,5.535559920167132,-2.1715422,8.348435361541696,-0.122742906,4.680532541542311,hand_wash
-8.90662,3.9605201034777324,-3.960221,4.409649558816141,1.3794967,2.273235613586218,hand_wash
-13.729377,3.6326377908678307,-6.8182445,3.313406910095359,0.09844803,4.148914949057958,hand_wash
-9.968942,5.271969739314802,-1.4817777,7.640209100867624,-0.7229555,4.411914404030987,hand_wash
-10.773203,6.898245613306611,-4.498676,8.306281266106975,1.4953032,6.530768417782779,hand_wash
-6.951434,5.887718880182761,-4.2436576,8.960157152568836,-4.881354,10.135833595746531,hand_wash
-10.162712,7.770284870281914,-4.032714,8.026898938405965,-0.96581477,5.322361309346309,hand_wash
-7.660276,7.18059174630813,-0.12007447,8.9391051231559,1.4216657,6.343640857377771,hand_wash
-11.080198,3.688934693632995,-2.4860418,3.175342036769594,-0.51839405,4.136865831161231,hand_wash
-10.484529,2.6096638045698684,-3.940317,1.5143894783363847,0.91707283,1.2696729375561358,hand_wash
-9.703586,4.975984692528537,-3.2154305,3.542618672194284,-0.11481749,1.847128084918346,hand_wash
-10.393733,3.5853655323650595,-2.52894,1.5168636805391396,0.41625795,1.0366484054007814,hand_wash
-10.914239,4.7241452932600465,-3.1831615,2.5724497897898786,0.08685495,1.2313516991145266,hand_wash
-9.6820755,6.3223452700034315,-3.5785313,3.680214101119407,-0.81336665,0.8738792257838387,hand_wash
